"","suppdem","age","party_reg_state","party_primary_state","sex","combined_ethnicity_4way","single","married","num_children","children_3plus","hasreligion","catholic","christian","bible_reader","interest_in_religion","donrever_1","liberal_donor","conservative_donor","contbrel_1","contbpol_1","contbhlt_1","blue_collar","farmer","professional_technical","retired","apparel_1","bookmusc_1","electrnc_1","boatownr_1","cat_1","environm_1","outdgrdn_1","outdoor_1","guns_1","golf_1","investor_1","veteran_1","expensive_items_1","cnty_pct_religious","cnty_pct_evangelical","district_status","property_status","collapsed_educ","relative_income"
"1","Y",57,0,0,"F","W",0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0.44147,0.15633,1,2,"1",0.875500816
"2","Y",84,1,1,"F","B",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.480188889,0.136638889,2,2,"2",0.453973298
"3","N",63,1,0,"M","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0.11767,0.112268889,1,2,"2",1.641586867
"4","Y",71,1,1,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0.49812,0.08118,2,2,"2",0.409601049
"5","N",72,1,1,"F","W",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.46118,0.034478889,3,2,"2",0.484917244
"6","N",20,0,0,"M","W",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353088889,0.099328889,1,2,"2",1.222669735
"7","N",40,1,1,"M","B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.288008889,0.092818889,2,2,"2",2.000597193
"8","N",86,1,0,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307208889,0.10415,1,2,"2",1.401968046
"9","Y",20,1,1,"F","W",0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.40679,0.188198889,2,2,"1",2.734665483
"10","N",60,1,1,"M","W",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0.589418889,0.03896,2,2,"2",2.151139404
"11","N",75,1,0,"M","W",0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.35761,0.077238889,3,2,"2",0.920586396
"12","N",31,1,0,"M","H",1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36641,0.108878889,2,2,"2",1.815579811
